"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-10-18","3,618.73","3,631.07","3,632.06","3,615.66","54.34K","-0.57%"
"2023-10-17","3,639.40","3,635.30","3,645.57","3,619.13","90.75K","0.35%"
"2023-10-16","3,626.60","3,664.04","3,664.04","3,615.77","91.85K","-1.00%"
"2023-10-13","3,663.41","3,677.96","3,678.19","3,652.31","98.29K","-1.05%"
"2023-10-12","3,702.38","3,697.93","3,711.50","3,682.84","114.36K","0.95%"
"2023-10-11","3,667.55","3,674.75","3,689.53","3,658.35","102.09K","0.28%"
"2023-10-10","3,657.13","3,696.25","3,701.26","3,655.59","99.16K","-0.75%"
"2023-10-9","3,684.73","3,678.93","3,694.17","3,642.00","102.15K","-0.13%"
"2023-9-28","3,689.52","3,711.21","3,716.06","3,685.30","85.22K","-0.30%"
"2023-9-27","3,700.50","3,694.96","3,731.14","3,694.39","91.63K","0.21%"
"2023-9-26","3,692.89","3,711.71","3,723.85","3,692.62","78.05K","-0.58%"
"2023-9-25","3,714.60","3,738.06","3,738.06","3,711.20","92.60K","-0.65%"
"2023-9-22","3,738.93","3,672.64","3,740.42","3,664.77","110.23K","1.81%"
"2023-9-21","3,672.44","3,698.31","3,708.46","3,672.44","83.03K","-0.90%"
"2023-9-20","3,705.69","3,715.96","3,718.52","3,705.13","75.45K","-0.40%"
"2023-9-19","3,720.50","3,723.42","3,724.07","3,702.69","83.20K","-0.19%"
"2023-9-18","3,727.71","3,698.93","3,737.53","3,691.11","86.73K","0.51%"
"2023-9-15","3,708.78","3,740.79","3,749.02","3,699.38","109.40K","-0.66%"
"2023-9-14","3,733.51","3,736.94","3,748.82","3,717.31","100.39K","-0.08%"
"2023-9-13","3,736.65","3,759.61","3,768.82","3,719.11","81.58K","-0.64%"
"2023-9-12","3,760.60","3,764.33","3,775.09","3,755.42","79.39K","-0.18%"
"2023-9-11","3,767.54","3,740.58","3,788.32","3,734.72","105.36K","0.74%"
"2023-9-8","3,739.99","3,747.65","3,753.26","3,724.99","71.64K","-0.49%"
"2023-9-7","3,758.47","3,802.23","3,802.23","3,756.85","95.10K","-1.40%"
